iter	Passed	Remaining
0	1	157
1	2	142
2	4	136
3	5	125
4	6	123
5	7	122
6	9	120
7	10	117
8	11	114
9	12	111
10	13	109
11	14	107
12	15	105
13	16	103
14	18	102
15	19	100
16	20	99
17	21	97
18	22	96
19	23	94
20	24	93
21	25	92
22	27	90
23	28	89
24	29	88
25	30	86
26	31	85
27	32	84
28	34	83
29	35	82
30	36	80
31	37	80
32	38	79
33	40	77
34	41	76
35	42	75
36	43	73
37	44	72
38	45	71
39	46	70
40	47	69
41	48	66
42	49	65
43	50	64
44	52	63
45	53	62
46	54	61
47	55	60
48	56	59
49	57	57
50	59	56
51	60	55
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	67	48
58	68	47
59	69	46
60	71	45
61	72	44
62	73	43
63	75	42
64	76	41
65	78	40
66	79	39
67	80	38
68	82	36
69	83	35
70	84	34
71	86	33
72	87	32
73	89	31
74	90	30
75	91	29
76	93	27
77	94	26
78	95	25
79	97	24
80	98	23
81	99	21
82	101	20
83	102	19
84	103	18
85	104	17
86	106	15
87	107	14
88	109	13
89	110	12
90	111	11
91	113	9
92	114	8
93	115	7
94	116	6
95	118	4
96	119	3
97	121	2
98	122	1
99	124	0
