iter	Passed	Remaining
0	189	189744
1	191	95720
2	193	64270
3	194	48531
4	196	39048
5	197	32740
6	198	28204
7	200	24826
8	201	22190
9	202	20079
10	204	18377
11	205	16941
12	207	15717
13	208	14674
14	209	13774
15	211	12982
16	212	12276
17	213	11644
18	214	11075
19	215	10574
20	216	10114
21	218	9704
22	219	9322
23	220	8972
24	221	8650
25	223	8354
26	224	8079
27	225	7824
28	226	7588
29	227	7365
30	228	7155
31	230	6961
32	231	6779
33	232	6610
34	233	6449
35	235	6297
36	236	6151
37	237	6015
38	238	5883
39	239	5758
40	241	5641
41	242	5529
42	243	5421
43	244	5318
44	246	5224
45	248	5160
46	250	5084
47	252	5000
48	253	4921
49	255	4850
50	256	4778
51	258	4708
52	259	4644
53	262	4590
54	263	4534
55	265	4477
56	266	4416
57	268	4357
58	269	4300
59	271	4249
60	272	4194
61	274	4147
62	275	4103
63	277	4055
64	278	4010
65	280	3970
66	282	3927
67	283	3884
68	284	3841
69	285	3798
70	287	3757
71	288	3723
72	290	3694
73	292	3658
74	293	3621
75	294	3584
76	296	3548
77	297	3513
78	298	3478
79	299	3443
80	300	3411
81	301	3380
82	302	3345
83	304	3323
84	306	3294
85	307	3267
86	308	3238
87	309	3210
88	310	3183
89	312	3156
90	313	3129
91	314	3103
92	315	3078
93	317	3055
94	318	3034
95	319	3011
96	321	2990
97	322	2968
98	323	2946
99	324	2923
100	326	2902
101	327	2881
102	328	2860
103	329	2839
104	330	2819
105	332	2802
106	333	2786
107	335	2768
108	336	2749
109	337	2730
110	338	2712
111	339	2694
112	341	2676
113	342	2659
114	343	2642
115	344	2625
116	345	2607
117	347	2595
118	348	2580
119	349	2566
120	351	2552
121	352	2535
122	353	2520
123	354	2505
124	355	2490
125	357	2476
126	358	2460
127	359	2447
128	360	2437
129	362	2426
130	363	2413
131	364	2399
132	365	2385
133	367	2372
134	368	2360
135	369	2346
136	370	2335
137	371	2322
138	373	2310
139	374	2298
140	375	2289
141	376	2277
142	378	2267
143	379	2257
144	381	2247
145	382	2237
146	383	2228
147	385	2218
148	386	2209
149	388	2200
150	390	2193
151	391	2185
152	393	2177
153	395	2170
154	396	2162
155	398	2153
156	399	2145
157	401	2137
158	402	2129
159	405	2130
160	407	2121
161	408	2114
162	410	2105
163	411	2098
